split,wav,frame_idx,time_s,token,label,prob,pred
train,./chunk_7_deepak/chunk_7.wav,200,5.4,अ,0,0.4129204750061035,0
train,./chunk_0_Tanya/chunk_0.wav,478,12.906,न,1,0.7358120679855347,1
train,./chunk_7_deepak/chunk_7.wav,182,4.914,न,1,0.7694095373153687,1
train,./chunk_4Tanya/chunk_4.wav,785,21.195,क,0,0.49379631876945496,0
train,./chunk_4Tanya/chunk_4.wav,34,0.918,ए,0,0.0561719574034214,0
train,./chunk_4Tanya/chunk_4.wav,426,11.502,र,1,0.8848422169685364,1
train,./chunk_7_deepak/chunk_7.wav,215,5.805,थ,0,0.5748299360275269,0
train,./chunk_4Tanya/chunk_4.wav,523,14.121,च,0,0.34693631529808044,0
train,./chunk_7_deepak/chunk_7.wav,986,26.622,न,1,0.6883095502853394,0
train,./chunk_7_deepak/chunk_7.wav,965,26.055,च,0,0.44744226336479187,0
train,./chunk_4Tanya/chunk_4.wav,33,0.891,क,0,0.27219921350479126,0
train,./chunk_7_deepak/chunk_7.wav,159,4.293,स,0,0.5525131225585938,0
train,./chunk_10_Richa/chunk_10.wav,172,4.644,अ,0,0.7171333432197571,1
train,./chunk_4Tanya/chunk_4.wav,369,9.963,ल,0,0.436217725276947,0
train,./chunk_10_Richa/chunk_10.wav,254,6.858,ज,0,0.692529022693634,0
train,./chunk_4Tanya/chunk_4.wav,471,12.717,अ,0,0.24127817153930664,0
train,./chunk_0_Tanya/chunk_0.wav,1034,27.918,इ,0,0.7462841868400574,1
train,./chunk_0_Tanya/chunk_0.wav,1086,29.322,फ,0,0.4692939221858978,0
train,./chunk_0_Tanya/chunk_0.wav,839,22.653,र,1,0.7089822292327881,1
train,./chunk_0_Tanya/chunk_0.wav,336,9.072,अ,0,0.1266770362854004,0
train,./chunk_10_Richa/chunk_10.wav,147,3.969,ए,0,0.29210174083709717,0
train,./chunk_0_Tanya/chunk_0.wav,146,3.942,ए,0,0.1758585423231125,0
train,./chunk_0_Tanya/chunk_0.wav,806,21.762,फ,1,0.7534478306770325,1
train,./chunk_0_Tanya/chunk_0.wav,263,7.101,स,0,0.4948992133140564,0
train,./chunk_7_deepak/chunk_7.wav,600,16.2,ए,0,0.39446204900741577,0
train,./chunk_10_Richa/chunk_10.wav,127,3.429,न,1,0.8757708668708801,1
train,./chunk_4Tanya/chunk_4.wav,43,1.161,ह,1,0.8182121515274048,1
train,./chunk_7_deepak/chunk_7.wav,816,22.032,अ,0,0.528397798538208,0
train,./chunk_0_Tanya/chunk_0.wav,278,7.506,द,0,0.41883957386016846,0
train,./chunk_0_Tanya/chunk_0.wav,612,16.524,अ,0,0.5914536118507385,0
train,./chunk_4Tanya/chunk_4.wav,709,19.143,क,0,0.4127978980541229,0
train,./chunk_7_deepak/chunk_7.wav,884,23.868,अ,0,0.7491840720176697,1
train,./chunk_4Tanya/chunk_4.wav,764,20.628,क,1,0.8060538172721863,1
train,./chunk_7_deepak/chunk_7.wav,160,4.32,स,0,0.48003390431404114,0
train,./chunk_0_Tanya/chunk_0.wav,255,6.885,म,0,0.6034749150276184,0
train,./chunk_7_deepak/chunk_7.wav,921,24.867,उ,0,0.7850154042243958,1
train,./chunk_7_deepak/chunk_7.wav,106,2.862,न,1,0.5529314279556274,0
train,./chunk_0_Tanya/chunk_0.wav,549,14.823,क,0,0.49186718463897705,0
train,./chunk_0_Tanya/chunk_0.wav,686,18.522,अ,0,0.11533531546592712,0
train,./chunk_0_Tanya/chunk_0.wav,58,1.566,अ,0,0.126857727766037,0
train,./chunk_4Tanya/chunk_4.wav,118,3.186,ए,0,0.6123645305633545,0
train,./chunk_7_deepak/chunk_7.wav,1055,28.485,अ,0,0.6472755074501038,0
train,./chunk_4Tanya/chunk_4.wav,508,13.716,क,0,0.058140743523836136,0
train,./chunk_7_deepak/chunk_7.wav,793,21.411,च,0,0.14799630641937256,0
train,./chunk_0_Tanya/chunk_0.wav,1001,27.027,अ,0,0.05404190719127655,0
train,./chunk_4Tanya/chunk_4.wav,566,15.282,ए,0,0.3073282241821289,0
train,./chunk_7_deepak/chunk_7.wav,167,4.509,क,0,0.6558761596679688,0
train,./chunk_0_Tanya/chunk_0.wav,733,19.791,त,0,0.575290858745575,0
train,./chunk_4Tanya/chunk_4.wav,436,11.772,य,1,0.37522903084754944,0
train,./chunk_0_Tanya/chunk_0.wav,596,16.092,स,1,0.8365480899810791,1
train,./chunk_0_Tanya/chunk_0.wav,845,22.815,क,0,0.08992093801498413,0
train,./chunk_4Tanya/chunk_4.wav,63,1.701,ग,0,0.6160156726837158,0
train,./chunk_0_Tanya/chunk_0.wav,1016,27.432,फ,0,0.545121431350708,0
train,./chunk_7_deepak/chunk_7.wav,968,26.136,अ,0,0.06073518842458725,0
train,./chunk_7_deepak/chunk_7.wav,648,17.496,य,0,0.05150754004716873,0
train,./chunk_4Tanya/chunk_4.wav,314,8.478,अ,0,0.08348454535007477,0
train,./chunk_0_Tanya/chunk_0.wav,667,18.009,ए,0,0.32213306427001953,0
train,./chunk_10_Richa/chunk_10.wav,123,3.321,र,1,0.348023384809494,0
train,./chunk_7_deepak/chunk_7.wav,1057,28.538999999999998,अ,0,0.4630087912082672,0
train,./chunk_10_Richa/chunk_10.wav,267,7.209,इ,0,0.6023066639900208,0
train,./chunk_0_Tanya/chunk_0.wav,1043,28.161,अ,0,0.3774542510509491,0
train,./chunk_0_Tanya/chunk_0.wav,178,4.806,त,1,0.20963425934314728,0
train,./chunk_10_Richa/chunk_10.wav,122,3.294,उ,0,0.22658421099185944,0
train,./chunk_0_Tanya/chunk_0.wav,379,10.233,अ,0,0.03525744006037712,0
train,./chunk_0_Tanya/chunk_0.wav,722,19.494,ए,0,0.46074798703193665,0
train,./chunk_4Tanya/chunk_4.wav,911,24.597,अ,0,0.31208178400993347,0
train,./chunk_4Tanya/chunk_4.wav,772,20.844,उ,0,0.4065619111061096,0
train,./chunk_0_Tanya/chunk_0.wav,351,9.477,अ,0,0.6425833106040955,0
train,./chunk_10_Richa/chunk_10.wav,203,5.481,इ,0,0.5565343499183655,0
train,./chunk_0_Tanya/chunk_0.wav,196,5.292,उ,0,0.0553898811340332,0
train,./chunk_0_Tanya/chunk_0.wav,800,21.6,न,0,0.5277676582336426,0
train,./chunk_4Tanya/chunk_4.wav,239,6.453,अ,0,0.06680737435817719,0
train,./chunk_10_Richa/chunk_10.wav,197,5.319,ह,0,0.7469342350959778,1
train,./chunk_7_deepak/chunk_7.wav,126,3.402,थ,1,0.680898904800415,0
train,./chunk_4Tanya/chunk_4.wav,277,7.479,स,0,0.5650306940078735,0
train,./chunk_4Tanya/chunk_4.wav,896,24.192,अ,0,0.1296704113483429,0
train,./chunk_7_deepak/chunk_7.wav,941,25.407,इ,0,0.48226094245910645,0
train,./chunk_0_Tanya/chunk_0.wav,641,17.307,इ,0,0.21902576088905334,0
train,./chunk_0_Tanya/chunk_0.wav,813,21.951,फ,0,0.21643804013729095,0
train,./chunk_0_Tanya/chunk_0.wav,758,20.466,इ,0,0.15006932616233826,0
train,./chunk_4Tanya/chunk_4.wav,280,7.56,अ,0,0.17122390866279602,0
train,./chunk_7_deepak/chunk_7.wav,967,26.108999999999998,अ,0,0.4244319498538971,0
train,./chunk_4Tanya/chunk_4.wav,623,16.821,र,0,0.05010437220335007,0
train,./chunk_4Tanya/chunk_4.wav,634,17.118,इ,0,0.21734575927257538,0
train,./chunk_4Tanya/chunk_4.wav,69,1.863,इ,0,0.18837451934814453,0
train,./chunk_7_deepak/chunk_7.wav,995,26.865,ब,0,0.482459157705307,0
train,./chunk_0_Tanya/chunk_0.wav,993,26.811,म,0,0.6086037158966064,0
train,./chunk_7_deepak/chunk_7.wav,937,25.299,इ,0,0.06889589875936508,0
train,./chunk_4Tanya/chunk_4.wav,914,24.678,ब,1,0.707790732383728,1
train,./chunk_7_deepak/chunk_7.wav,597,16.119,र,0,0.3138442933559418,0
train,./chunk_7_deepak/chunk_7.wav,663,17.901,अ,0,0.3863711953163147,0
train,./chunk_4Tanya/chunk_4.wav,327,8.829,स,0,0.7032901644706726,1
train,./chunk_0_Tanya/chunk_0.wav,604,16.308,स,1,0.6443372368812561,0
train,./chunk_4Tanya/chunk_4.wav,122,3.294,स,1,0.7041969895362854,1
train,./chunk_10_Richa/chunk_10.wav,59,1.593,ज,0,0.5161318182945251,0
train,./chunk_10_Richa/chunk_10.wav,168,4.536,ल,1,0.9283766150474548,1
train,./chunk_10_Richa/chunk_10.wav,62,1.674,ए,0,0.12244424223899841,0
train,./chunk_0_Tanya/chunk_0.wav,1081,29.187,भ,0,0.13544870913028717,0
train,./chunk_0_Tanya/chunk_0.wav,639,17.253,इ,0,0.038347918540239334,0
train,./chunk_7_deepak/chunk_7.wav,519,14.013,न,0,0.5433772206306458,0
train,./chunk_4Tanya/chunk_4.wav,356,9.612,स,1,0.6911378502845764,0
train,./chunk_4Tanya/chunk_4.wav,979,26.433,अ,0,0.31415316462516785,0
train,./chunk_4Tanya/chunk_4.wav,440,11.879999999999999,र,0,0.704683780670166,1
train,./chunk_4Tanya/chunk_4.wav,25,0.675,इ,0,0.5634863376617432,0
train,./chunk_0_Tanya/chunk_0.wav,495,13.365,अ,0,0.10381197184324265,0
train,./chunk_7_deepak/chunk_7.wav,956,25.812,स,0,0.6423332691192627,0
train,./chunk_4Tanya/chunk_4.wav,119,3.213,ए,0,0.8120465874671936,1
train,./chunk_4Tanya/chunk_4.wav,994,26.838,क,0,0.05779176577925682,0
train,./chunk_0_Tanya/chunk_0.wav,537,14.499,ब,0,0.06338472664356232,0
train,./chunk_4Tanya/chunk_4.wav,22,0.594,ज,1,0.8537658452987671,1
train,./chunk_0_Tanya/chunk_0.wav,826,22.302,ठ,1,0.6596423983573914,0
train,./chunk_0_Tanya/chunk_0.wav,226,6.102,अ,0,0.5179944038391113,0
train,./chunk_0_Tanya/chunk_0.wav,425,11.475,थ,0,0.1340297907590866,0
train,./chunk_7_deepak/chunk_7.wav,1009,27.243,द,0,0.1991555094718933,0
train,./chunk_4Tanya/chunk_4.wav,629,16.983,क,0,0.4079946279525757,0
train,./chunk_4Tanya/chunk_4.wav,293,7.911,ह,0,0.15580029785633087,0
train,./chunk_4Tanya/chunk_4.wav,934,25.218,र,1,0.6851163506507874,0
train,./chunk_7_deepak/chunk_7.wav,518,13.986,न,0,0.3301542401313782,0
train,./chunk_7_deepak/chunk_7.wav,114,3.078,ह,1,0.7151224613189697,1
train,./chunk_7_deepak/chunk_7.wav,650,17.55,अ,0,0.41001096367836,0
train,./chunk_7_deepak/chunk_7.wav,758,20.466,ए,0,0.3386704623699188,0
train,./chunk_7_deepak/chunk_7.wav,907,24.489,इ,0,0.07126310467720032,0
train,./chunk_0_Tanya/chunk_0.wav,78,2.106,अ,0,0.04817099869251251,0
train,./chunk_7_deepak/chunk_7.wav,754,20.358,ह,0,0.13494622707366943,0
train,./chunk_4Tanya/chunk_4.wav,703,18.980999999999998,अ,0,0.06861599534749985,0
train,./chunk_0_Tanya/chunk_0.wav,1089,29.403,फ,0,0.20095188915729523,0
train,./chunk_7_deepak/chunk_7.wav,612,16.524,ए,0,0.03848138824105263,0
train,./chunk_10_Richa/chunk_10.wav,180,4.86,अ,0,0.11351136863231659,0
train,./chunk_4Tanya/chunk_4.wav,127,3.429,ए,0,0.30807268619537354,0
train,./chunk_7_deepak/chunk_7.wav,91,2.457,ए,0,0.024570703506469727,0
train,./chunk_7_deepak/chunk_7.wav,132,3.564,इ,0,0.16954632103443146,0
train,./chunk_4Tanya/chunk_4.wav,198,5.346,न,0,0.32767191529273987,0
train,./chunk_7_deepak/chunk_7.wav,924,24.948,क,1,0.6081568598747253,0
train,./chunk_7_deepak/chunk_7.wav,1073,28.971,स,0,0.6390654444694519,0
train,./chunk_4Tanya/chunk_4.wav,620,16.74,अ,0,0.3547993004322052,0
train,./chunk_4Tanya/chunk_4.wav,807,21.789,ए,0,0.4401780068874359,0
train,./chunk_0_Tanya/chunk_0.wav,494,13.338,अ,0,0.17790372669696808,0
train,./chunk_10_Richa/chunk_10.wav,187,5.049,अ,0,0.6696550846099854,0
train,./chunk_4Tanya/chunk_4.wav,46,1.242,र,0,0.3819147050380707,0
train,./chunk_7_deepak/chunk_7.wav,585,15.795,त,0,0.3801654577255249,0
train,./chunk_4Tanya/chunk_4.wav,365,9.855,अ,0,0.6902782917022705,0
train,./chunk_0_Tanya/chunk_0.wav,288,7.776,अ,0,0.24035534262657166,0
train,./chunk_7_deepak/chunk_7.wav,402,10.854,र,0,0.25218552350997925,0
train,./chunk_4Tanya/chunk_4.wav,762,20.573999999999998,ए,0,0.10843487828969955,0
train,./chunk_7_deepak/chunk_7.wav,653,17.631,अ,0,0.22429893910884857,0
train,./chunk_7_deepak/chunk_7.wav,107,2.889,न,0,0.7100762128829956,1
train,./chunk_7_deepak/chunk_7.wav,931,25.137,थ,0,0.8036596179008484,1
train,./chunk_0_Tanya/chunk_0.wav,638,17.226,इ,0,0.37076207995414734,0
train,./chunk_7_deepak/chunk_7.wav,47,1.269,ब,0,0.506563663482666,0
train,./chunk_4Tanya/chunk_4.wav,787,21.249,अ,0,0.10340329259634018,0
train,./chunk_7_deepak/chunk_7.wav,1080,29.16,ल,0,0.4374347925186157,0
train,./chunk_10_Richa/chunk_10.wav,141,3.807,ए,0,0.25434425473213196,0
train,./chunk_7_deepak/chunk_7.wav,353,9.531,न,0,0.6323976516723633,0
train,./chunk_0_Tanya/chunk_0.wav,541,14.607,ए,0,0.7228249907493591,1
train,./chunk_10_Richa/chunk_10.wav,63,1.701,न,1,0.7467470169067383,1
train,./chunk_4Tanya/chunk_4.wav,435,11.745,ए,0,0.46613457798957825,0
train,./chunk_0_Tanya/chunk_0.wav,121,3.267,अ,0,0.5100173354148865,0
train,./chunk_7_deepak/chunk_7.wav,5,0.135,थ,0,0.2830929458141327,0
train,./chunk_10_Richa/chunk_10.wav,72,1.944,न,0,0.626734733581543,0
train,./chunk_4Tanya/chunk_4.wav,319,8.613,ए,0,0.40410545468330383,0
train,./chunk_4Tanya/chunk_4.wav,522,14.094,च,1,0.5999609231948853,0
train,./chunk_4Tanya/chunk_4.wav,204,5.508,इ,0,0.2812259793281555,0
train,./chunk_0_Tanya/chunk_0.wav,397,10.719,ए,0,0.01601225696504116,0
train,./chunk_7_deepak/chunk_7.wav,520,14.04,न,0,0.20430484414100647,0
train,./chunk_10_Richa/chunk_10.wav,193,5.211,त,0,0.36806929111480713,0
train,./chunk_7_deepak/chunk_7.wav,173,4.671,अ,0,0.6522516012191772,0
train,./chunk_0_Tanya/chunk_0.wav,732,19.764,त,1,0.8099793791770935,1
train,./chunk_0_Tanya/chunk_0.wav,1042,28.134,अ,0,0.17480498552322388,0
train,./chunk_7_deepak/chunk_7.wav,649,17.523,य,0,0.06176750361919403,0
train,./chunk_7_deepak/chunk_7.wav,304,8.208,इ,0,0.2713751196861267,0
train,./chunk_0_Tanya/chunk_0.wav,138,3.726,ए,0,0.1135890781879425,0
train,./chunk_4Tanya/chunk_4.wav,424,11.448,अ,0,0.19473710656166077,0
train,./chunk_10_Richa/chunk_10.wav,251,6.777,ल,0,0.8639654517173767,1
train,./chunk_0_Tanya/chunk_0.wav,915,24.705,थ,0,0.19884470105171204,0
train,./chunk_0_Tanya/chunk_0.wav,538,14.526,ए,0,0.3655076324939728,0
train,./chunk_7_deepak/chunk_7.wav,122,3.294,इ,0,0.15734978020191193,0
train,./chunk_0_Tanya/chunk_0.wav,338,9.126,ल,1,0.7535409927368164,1
train,./chunk_7_deepak/chunk_7.wav,507,13.689,न,0,0.5408002734184265,0
train,./chunk_7_deepak/chunk_7.wav,164,4.428,इ,0,0.4199550151824951,0
train,./chunk_7_deepak/chunk_7.wav,538,14.526,अ,0,0.023087935522198677,0
train,./chunk_0_Tanya/chunk_0.wav,1035,27.945,इ,0,0.7279810309410095,1
train,./chunk_0_Tanya/chunk_0.wav,555,14.985,अ,0,0.3045801818370819,0
train,./chunk_0_Tanya/chunk_0.wav,345,9.315,क,0,0.35958248376846313,0
train,./chunk_4Tanya/chunk_4.wav,438,11.826,र,0,0.3617607355117798,0
train,./chunk_7_deepak/chunk_7.wav,796,21.492,ह,1,0.7078816294670105,1
train,./chunk_7_deepak/chunk_7.wav,1078,29.105999999999998,ल,1,0.7963743209838867,1
train,./chunk_4Tanya/chunk_4.wav,706,19.062,र,1,0.8572157621383667,1
train,./chunk_7_deepak/chunk_7.wav,981,26.487,द,0,0.7243756651878357,1
train,./chunk_7_deepak/chunk_7.wav,49,1.323,ब,0,0.08928265422582626,0
train,./chunk_7_deepak/chunk_7.wav,512,13.824,अ,0,0.20613989233970642,0
train,./chunk_0_Tanya/chunk_0.wav,155,4.185,अ,0,0.11622494459152222,0
train,./chunk_7_deepak/chunk_7.wav,1013,27.351,ग,0,0.2232140749692917,0
train,./chunk_7_deepak/chunk_7.wav,654,17.658,ह,1,0.6394994258880615,0
train,./chunk_7_deepak/chunk_7.wav,1082,29.214,ल,0,0.5540383458137512,0
train,./chunk_0_Tanya/chunk_0.wav,1082,29.214,इ,0,0.3579106032848358,0
train,./chunk_4Tanya/chunk_4.wav,530,14.31,भ,1,0.5881094336509705,0
train,./chunk_7_deepak/chunk_7.wav,1063,28.701,इ,0,0.16521017253398895,0
train,./chunk_7_deepak/chunk_7.wav,815,22.005,अ,0,0.16569215059280396,0
train,./chunk_4Tanya/chunk_4.wav,897,24.219,अ,0,0.03247276693582535,0
train,./chunk_0_Tanya/chunk_0.wav,709,19.143,अ,0,0.5349894165992737,0
train,./chunk_7_deepak/chunk_7.wav,1074,28.998,अ,0,0.17694240808486938,0
train,./chunk_10_Richa/chunk_10.wav,167,4.509,अ,0,0.02230713702738285,0
train,./chunk_0_Tanya/chunk_0.wav,687,18.549,अ,0,0.4454785883426666,0
train,./chunk_4Tanya/chunk_4.wav,531,14.337,भ,0,0.08444568514823914,0
train,./chunk_4Tanya/chunk_4.wav,766,20.682,क,0,0.7229553461074829,1
train,./chunk_0_Tanya/chunk_0.wav,118,3.186,अ,0,0.249890998005867,0
train,./chunk_4Tanya/chunk_4.wav,421,11.366999999999999,क,0,0.7457342743873596,1
train,./chunk_7_deepak/chunk_7.wav,515,13.905,अ,0,0.48454222083091736,0
train,./chunk_4Tanya/chunk_4.wav,1004,27.108,ह,0,0.2531836926937103,0
train,./chunk_4Tanya/chunk_4.wav,973,26.271,इ,0,0.8500804305076599,1
train,./chunk_10_Richa/chunk_10.wav,206,5.562,अ,0,0.44411700963974,0
train,./chunk_0_Tanya/chunk_0.wav,857,23.139,अ,0,0.4133365750312805,0
train,./chunk_7_deepak/chunk_7.wav,349,9.423,म,0,0.46344104409217834,0
train,./chunk_7_deepak/chunk_7.wav,630,17.01,इ,0,0.17009741067886353,0
train,./chunk_0_Tanya/chunk_0.wav,204,5.508,न,0,0.09221233427524567,0
train,./chunk_0_Tanya/chunk_0.wav,820,22.14,न,0,0.34865865111351013,0
train,./chunk_7_deepak/chunk_7.wav,129,3.483,थ,0,0.1421821564435959,0
train,./chunk_0_Tanya/chunk_0.wav,1059,28.593,स,0,0.6427432298660278,0
train,./chunk_0_Tanya/chunk_0.wav,228,6.156,अ,0,0.5379706025123596,0
train,./chunk_0_Tanya/chunk_0.wav,1096,29.592,न,0,0.2926570475101471,0
train,./chunk_7_deepak/chunk_7.wav,112,3.024,इ,0,0.6653889417648315,0
train,./chunk_4Tanya/chunk_4.wav,50,1.35,क,1,0.8474018573760986,1
train,./chunk_4Tanya/chunk_4.wav,904,24.408,न,0,0.04877249151468277,0
train,./chunk_7_deepak/chunk_7.wav,189,5.103,त,0,0.122157521545887,0
train,./chunk_0_Tanya/chunk_0.wav,754,20.358,अ,0,0.5958269834518433,0
train,./chunk_7_deepak/chunk_7.wav,957,25.839,स,0,0.5589953064918518,0
train,./chunk_7_deepak/chunk_7.wav,116,3.132,अ,0,0.2168259620666504,0
train,./chunk_4Tanya/chunk_4.wav,628,16.956,क,1,0.5997290015220642,0
train,./chunk_7_deepak/chunk_7.wav,526,14.202,उ,0,0.45839497447013855,0
train,./chunk_7_deepak/chunk_7.wav,281,7.587,अ,0,0.35160207748413086,0
train,./chunk_4Tanya/chunk_4.wav,455,12.285,ट,0,0.2887517809867859,0
train,./chunk_7_deepak/chunk_7.wav,827,22.329,ए,0,0.33012524247169495,0
train,./chunk_4Tanya/chunk_4.wav,793,21.411,द,0,0.466292142868042,0
train,./chunk_0_Tanya/chunk_0.wav,470,12.69,उ,0,0.14822788536548615,0
train,./chunk_0_Tanya/chunk_0.wav,899,24.273,ग,1,0.6930856108665466,0
train,./chunk_0_Tanya/chunk_0.wav,1107,29.889,अ,0,0.05737655982375145,0
train,./chunk_4Tanya/chunk_4.wav,197,5.319,म,0,0.4947170317173004,0
train,./chunk_4Tanya/chunk_4.wav,77,2.079,ड,0,0.37670403718948364,0
train,./chunk_4Tanya/chunk_4.wav,630,17.01,इ,0,0.14180833101272583,0
train,./chunk_0_Tanya/chunk_0.wav,744,20.088,अ,0,0.36372503638267517,0
train,./chunk_0_Tanya/chunk_0.wav,1022,27.594,न,1,0.6245192289352417,0
train,./chunk_4Tanya/chunk_4.wav,363,9.801,अ,0,0.05567172169685364,0
train,./chunk_4Tanya/chunk_4.wav,733,19.791,अ,0,0.0899680033326149,0
train,./chunk_4Tanya/chunk_4.wav,30,0.8099999999999999,र,0,0.4763399660587311,0
train,./chunk_0_Tanya/chunk_0.wav,60,1.6199999999999999,अ,0,0.1945946365594864,0
train,./chunk_7_deepak/chunk_7.wav,325,8.775,अ,0,0.5685902833938599,0
train,./chunk_7_deepak/chunk_7.wav,665,17.955,अ,0,0.32744064927101135,0
train,./chunk_4Tanya/chunk_4.wav,1099,29.673,छ,0,0.25304675102233887,0
train,./chunk_0_Tanya/chunk_0.wav,260,7.02,इ,0,0.28691715002059937,0
train,./chunk_10_Richa/chunk_10.wav,268,7.236,इ,0,0.5640646815299988,0
train,./chunk_10_Richa/chunk_10.wav,130,3.51,अ,0,0.5613679885864258,0
train,./chunk_0_Tanya/chunk_0.wav,1062,28.674,अ,0,0.37789565324783325,0
train,./chunk_0_Tanya/chunk_0.wav,395,10.665,स,0,0.26154953241348267,0
train,./chunk_7_deepak/chunk_7.wav,939,25.352999999999998,इ,0,0.2607942223548889,0
train,./chunk_0_Tanya/chunk_0.wav,237,6.399,अ,0,0.4850303828716278,0
train,./chunk_7_deepak/chunk_7.wav,179,4.833,इ,0,0.4023857116699219,0
train,./chunk_0_Tanya/chunk_0.wav,530,14.31,ल,1,0.6723668575286865,0
train,./chunk_7_deepak/chunk_7.wav,664,17.928,अ,0,0.3088986277580261,0
train,./chunk_7_deepak/chunk_7.wav,660,17.82,अ,0,0.2052854746580124,0
train,./chunk_4Tanya/chunk_4.wav,359,9.693,स,0,0.8490071296691895,1
train,./chunk_0_Tanya/chunk_0.wav,829,22.383,ठ,0,0.26639696955680847,0
train,./chunk_0_Tanya/chunk_0.wav,378,10.206,अ,0,0.024992866441607475,0
train,./chunk_7_deepak/chunk_7.wav,1019,27.512999999999998,ए,0,0.2506701946258545,0
train,./chunk_0_Tanya/chunk_0.wav,501,13.527,क,0,0.7707704901695251,1
train,./chunk_7_deepak/chunk_7.wav,966,26.082,अ,0,0.5415477156639099,0
train,./chunk_7_deepak/chunk_7.wav,619,16.713,अ,0,0.1282767653465271,0
train,./chunk_4Tanya/chunk_4.wav,284,7.668,म,0,0.2766205966472626,0
train,./chunk_7_deepak/chunk_7.wav,503,13.581,अ,0,0.33177468180656433,0
train,./chunk_4Tanya/chunk_4.wav,815,22.005,ए,0,0.31404536962509155,0
train,./chunk_0_Tanya/chunk_0.wav,197,5.319,उ,0,0.7049235105514526,1
train,./chunk_0_Tanya/chunk_0.wav,261,7.047,स,1,0.7352409362792969,1
train,./chunk_7_deepak/chunk_7.wav,168,4.536,क,0,0.6255171895027161,0
train,./chunk_4Tanya/chunk_4.wav,71,1.917,उ,0,0.2349008470773697,0
train,./chunk_4Tanya/chunk_4.wav,245,6.615,ब,0,0.6227433681488037,0
train,./chunk_0_Tanya/chunk_0.wav,756,20.412,इ,0,0.2851458787918091,0
train,./chunk_7_deepak/chunk_7.wav,44,1.188,ब,0,0.9016351699829102,1
train,./chunk_4Tanya/chunk_4.wav,338,9.126,ए,0,0.4889650344848633,0
train,./chunk_7_deepak/chunk_7.wav,628,16.956,ल,0,0.4595520496368408,0
train,./chunk_4Tanya/chunk_4.wav,789,21.303,अ,0,0.7034001350402832,1
train,./chunk_4Tanya/chunk_4.wav,786,21.222,अ,0,0.21828879415988922,0
train,./chunk_0_Tanya/chunk_0.wav,698,18.846,व,1,0.3597072958946228,0
train,./chunk_0_Tanya/chunk_0.wav,598,16.146,अ,0,0.3937869668006897,0
train,./chunk_4Tanya/chunk_4.wav,537,14.499,घ,0,0.6558322906494141,0
