wav,start,end,label,prob,pred
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,2.187,2.214,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,2.214,2.241,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,2.241,2.268,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,2.268,2.295,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,2.295,2.322,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,2.322,2.349,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,2.349,2.376,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,2.376,2.403,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,2.403,2.43,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,2.43,2.457,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,2.457,2.484,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,2.484,2.511,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,2.511,2.538,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,2.538,2.565,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,2.565,2.592,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,2.592,2.619,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,2.619,2.646,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,2.646,2.673,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,2.673,2.7,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,2.7,2.727,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,2.727,2.754,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,2.754,2.781,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,2.781,2.808,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,2.808,2.835,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,2.835,2.862,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,2.862,2.889,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,2.889,2.916,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,2.916,2.943,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,2.943,2.97,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,2.97,2.997,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,2.997,3.024,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,3.024,3.051,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,3.051,3.078,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,3.078,3.105,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,3.105,3.132,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,3.132,3.159,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,3.159,3.186,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,3.186,3.213,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,3.213,3.24,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,3.24,3.267,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,3.267,3.294,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,3.294,3.321,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,3.321,3.348,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,3.348,3.375,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,3.375,3.402,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,3.402,3.429,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,3.429,3.456,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,3.456,3.483,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,3.483,3.51,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,3.51,3.537,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,3.537,3.564,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,3.564,3.591,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,3.591,3.618,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,3.618,3.645,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,3.645,3.672,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,3.672,3.699,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,3.699,3.726,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,3.726,3.753,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,3.753,3.78,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,3.78,3.807,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,3.807,3.834,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,3.834,3.861,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,3.861,3.888,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,3.888,3.915,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,3.915,3.942,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,3.942,3.969,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,3.969,3.996,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,3.996,4.023,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,4.023,4.05,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,4.05,4.077,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,4.077,4.104,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,4.104,4.131,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,4.131,4.158,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,4.158,4.185,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,4.185,4.212,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,4.212,4.239,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,4.239,4.266,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,4.266,4.293,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,4.293,4.32,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,4.32,4.347,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,4.347,4.374,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,4.374,4.401,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,4.401,4.428,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,4.428,4.455,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,4.455,4.482,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,4.482,4.509,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,4.509,4.536,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,4.536,4.563,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,4.563,4.59,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,4.59,4.617,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,4.617,4.644,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,4.644,4.671,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,4.671,4.698,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,4.698,4.725,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,4.725,4.752,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,4.752,4.779,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,4.779,4.806,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,4.806,4.833,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,4.833,4.86,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,4.86,4.887,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,4.887,4.914,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,4.914,4.941,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,4.941,4.968,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,4.968,4.995,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,4.995,5.022,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,5.022,5.049,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,5.049,5.076,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,5.076,5.103,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,5.103,5.13,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,5.13,5.157,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,5.157,5.184,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,5.184,5.211,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,5.211,5.238,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,5.238,5.265,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,5.265,5.292,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,5.292,5.319,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,5.319,5.346,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,5.346,5.373,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,5.373,5.4,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,5.4,5.427,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,5.427,5.454,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,5.454,5.481,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,5.481,5.508,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,5.508,5.535,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,5.535,5.562,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,5.562,5.589,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,5.589,5.616,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,5.616,5.643,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,5.643,5.67,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,5.67,5.697,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,5.697,5.724,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,5.724,5.751,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,5.751,5.778,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,5.778,5.805,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,5.805,5.832,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,5.832,5.859,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,5.859,5.886,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,5.886,5.913,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,5.913,5.94,1,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,5.94,5.967,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,5.967,5.994,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,5.994,6.021,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,6.021,6.048,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,6.048,6.075,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,6.075,6.102,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,6.102,6.129,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,6.129,6.156,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,6.156,6.183,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,6.183,6.21,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,6.21,6.237,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,6.237,6.264,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,6.264,6.291,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,6.291,6.318,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,6.318,6.345,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,6.345,6.372,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,6.372,6.399,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,6.399,6.426,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,6.426,6.453,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,6.453,6.48,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,6.48,6.507,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,6.507,6.534,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,6.534,6.561,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,6.561,6.588,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,6.588,6.615,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,6.615,6.642,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,6.642,6.669,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,6.669,6.696,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,6.696,6.723,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,6.723,6.75,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,6.75,6.777,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,6.777,6.804,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,6.804,6.831,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,6.831,6.858,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,6.858,6.885,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,6.885,6.912,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,6.912,6.939,0,,0
/Volumes/akshar_data/22nd_jan_2026/chunk_7_deepak/chunk_7.wav,6.939,6.966,0,,0
